CUNDINAMARCA,SAN JUAN DE RÍO SECO,4,4,4,4
CUNDINAMARCA,SASAIMA,3,3,3,3
CUNDINAMARCA,SESQUILÉ,3,3,3,3
CUNDINAMARCA,SIBATÉ,9,9,9,9
CUNDINAMARCA,SILVANIA,4,4,4,4
CUNDINAMARCA,SIMIJACA,3,3,3,3
CUNDINAMARCA,SOACHA,4,4,4,4
CUNDINAMARCA,SOPÓ,6,6,6,6
CUNDINAMARCA,SUBACHOQUE,6,6,6,6
CUNDINAMARCA,SUESCA,3,3,3,3
CUNDINAMARCA,SUPATÁ,2,2,2,2
CUNDINAMARCA,SUSA,2,2,2,2
CUNDINAMARCA,SUTATAUSA,3,3,3,3
CUNDINAMARCA,TABIO,8,8,8,8
CUNDINAMARCA,TAUSA,3,3,3,3
CUNDINAMARCA,TENA,3,3,3,3
CUNDINAMARCA,TENJO,10,10,10,10
CUNDINAMARCA,TIBACUY,3,3,3,3
