DEPARTAMENTO,MUNICIPIO,AÑO,Centros_5G_predicho,Antenas_5G_Predicho
CUNDINAMARCA,GUAYABETAL,2025,35,4
CUNDINAMARCA,GUTIÉRREZ,2025,11,1
CUNDINAMARCA,JERUSALÉN,2025,3,0
CUNDINAMARCA,JUNÍN,2025,27,3
CUNDINAMARCA,LA CALERA,2025,77,10
CUNDINAMARCA,LA MESA,2025,27,3
CUNDINAMARCA,LA PALMA,2025,15,2
CUNDINAMARCA,LA PEÑA,2025,11,1
CUNDINAMARCA,LENGUAZAQUE,2025,18,2
CUNDINAMARCA,MACHETA,2025,14,2
CUNDINAMARCA,MADRID,2025,50,6
CUNDINAMARCA,MANTA,2025,7,1
CUNDINAMARCA,MEDINA,2025,35,4
CUNDINAMARCA,MOSQUERA,2025,24,3
CUNDINAMARCA,NEMOCÓN,2025,38,5
CUNDINAMARCA,NILO,2025,35,4
CUNDINAMARCA,NIMAIMA,2025,19,2
CUNDINAMARCA,NOCAIMA,2025,19,2
CUNDINAMARCA,PACHO,2025,15,2
CUNDINAMARCA,PAIME,2025,23,3
CUNDINAMARCA,PANDI,2025,11,1
CUNDINAMARCA,PARATEBUENO,2025,35,4
CUNDINAMARCA,PASCA,2025,19,2
CUNDINAMARCA,PUERTO SALGAR,2025,31,4
CUNDINAMARCA,PULÍ,2025,19,2
CUNDINAMARCA,QUEBRADANEGRA,2025,23,3
CUNDINAMARCA,QUETAME,2025,25,3
CUNDINAMARCA,QUIPILE,2025,31,4
CUNDINAMARCA,RICAURTE,2025,35,4
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,2025,62,8
CUNDINAMARCA,SAN FRANCISCO,2025,19,2
CUNDINAMARCA,SAN JUAN DE RÍO SECO,2025,29,4
CUNDINAMARCA,SASAIMA,2025,27,3
CUNDINAMARCA,SESQUILÉ,2025,27,3
CUNDINAMARCA,SIBATÉ,2025,70,9
CUNDINAMARCA,SILVANIA,2025,35,4
CUNDINAMARCA,SIMIJACA,2025,27,3
